"repo","number","title","url"
"jupyter/notebook","6644","Updates to the contributor.rst file and addition of CONFIGURATION.md file","https://github.com/jupyter/notebook/pull/6644"
"jupyter/notebook","6486","feature request: add run buttons like ipynb extension for vscode","https://github.com/jupyter/notebook/issues/6486"
"jupyter/notebook","4304","Running `jupyter notebook` opens visual studio code, not a browser","https://github.com/jupyter/notebook/issues/4304"
"jupyter/notebook","4178","Buttons don't show up properly in Sphinx docs","https://github.com/jupyter/notebook/issues/4178"
"jupyter/notebook","3550","Add faq entry about installing on python without sqlite extensions","https://github.com/jupyter/notebook/issues/3550"
"jupyter/notebook","1643","Run cells from script or the command line?","https://github.com/jupyter/notebook/issues/1643"
"jupyter/notebook","1473","Translating notebook contents","https://github.com/jupyter/notebook/issues/1473"
"jupyter/notebook","916","File save hooks—docs & question","https://github.com/jupyter/notebook/issues/916"
"jupyter/notebook","811","Internal links / references to outputs","https://github.com/jupyter/notebook/issues/811"
"jupyter/notebook","788","Add a doc page for tips on using Spark","https://github.com/jupyter/notebook/issues/788"
"jupyter/notebook","660","Update public server document with troubleshooting and additional resources","https://github.com/jupyter/notebook/issues/660"
"jupyterhub/jupyterhub","4866","How to customise JupyterHub depending on group membership?","https://github.com/jupyterhub/jupyterhub/issues/4866"
"jupyterhub/jupyterhub","4845","JupyterHub differs in `xsrf` behaviour from jupyter-server","https://github.com/jupyterhub/jupyterhub/issues/4845"
"jupyterhub/jupyterhub","4673","Document / better support for separating user domains from the Hub domain","https://github.com/jupyterhub/jupyterhub/issues/4673"
"jupyterhub/jupyterhub","4656","FastAPI service example - Authorization header not sent in subsequent requests","https://github.com/jupyterhub/jupyterhub/issues/4656"
"jupyterhub/jupyterhub","4610","Better documentation on how to customize the home page","https://github.com/jupyterhub/jupyterhub/issues/4610"
"jupyterhub/jupyterhub","4253","docs: simplify api docs generation for comparison","https://github.com/jupyterhub/jupyterhub/pull/4253"
"jupyterhub/jupyterhub","4252","docs: classes generated docs sometimes include non-traits members, and sometimes do","https://github.com/jupyterhub/jupyterhub/issues/4252"
"jupyterhub/jupyterhub","4241","More documentation on the implications of `server.name`","https://github.com/jupyterhub/jupyterhub/issues/4241"
"jupyterhub/jupyterhub","4213","`post_auth_hook` documentation update","https://github.com/jupyterhub/jupyterhub/issues/4213"
"jupyterhub/jupyterhub","4203","PAM Authentication failed","https://github.com/jupyterhub/jupyterhub/issues/4203"
"jupyterhub/jupyterhub","4138","404 Error when try to ""edit this page"" on JupyterHub home page","https://github.com/jupyterhub/jupyterhub/issues/4138"
"jupyterhub/jupyterhub","3814","Update JupyterHub REST API permission examples with jupyterhub-idle-culler","https://github.com/jupyterhub/jupyterhub/issues/3814"
"jupyterhub/jupyterhub","3710","Unify the documentation for idle-culler","https://github.com/jupyterhub/jupyterhub/issues/3710"
"jupyterhub/jupyterhub","3684","More detailed docs on direct network interactions","https://github.com/jupyterhub/jupyterhub/issues/3684"
"jupyterhub/jupyterhub","3313","Documentation of jupyterhub.dbutil and alembic revisions","https://github.com/jupyterhub/jupyterhub/issues/3313"
"jupyterhub/jupyterhub","3113","Missing HTTP security headers","https://github.com/jupyterhub/jupyterhub/issues/3113"
"jupyterhub/jupyterhub","3080","Add a documentation section describing the structure of this repository","https://github.com/jupyterhub/jupyterhub/issues/3080"
"jupyterhub/jupyterhub","2855","Auto-generate docs for telemetry events","https://github.com/jupyterhub/jupyterhub/issues/2855"
"jupyterhub/jupyterhub","2593","Include the instruction `WorkingDirectory=/etc/jupyterhub` in system service Wiki","https://github.com/jupyterhub/jupyterhub/issues/2593"
"jupyterhub/jupyterhub","2481","Include Debian package in documentation ? ","https://github.com/jupyterhub/jupyterhub/issues/2481"
"jupyterhub/jupyterhub","2134","Docs: Unclear / confusing DB upgrade instructions","https://github.com/jupyterhub/jupyterhub/issues/2134"
"jupyterhub/jupyterhub","2049","Docs: Missing a chapter on monitoring / observability","https://github.com/jupyterhub/jupyterhub/issues/2049"
"jupyterhub/jupyterhub","1310","Customize DockerHub documentation for JupyterHub","https://github.com/jupyterhub/jupyterhub/issues/1310"
"jupyterlab/jupyterlab","17420","Add instructions on developing JupyterLab extension packages stored in JupyterLab monorepo to docs Contribute section","https://github.com/jupyterlab/jupyterlab/issues/17420"
"jupyterlab/jupyterlab","17354","Update 4.1.x branch to pass CI checks","https://github.com/jupyterlab/jupyterlab/pull/17354"
"jupyterlab/jupyterlab","17311","Document workspace selector widget and TopBar extension point","https://github.com/jupyterlab/jupyterlab/issues/17311"
"jupyterlab/jupyterlab","17273","Update to TypeScript 5.6","https://github.com/jupyterlab/jupyterlab/pull/17273"
"jupyterlab/jupyterlab","17246","try to build a real wheel in RTD","https://github.com/jupyterlab/jupyterlab/pull/17246"
"jupyterlab/jupyterlab","17161","Improved the Discoverability of certain topics highly relevant to extension development: , Moved privacy policies to get Started, extensions warning position changed","https://github.com/jupyterlab/jupyterlab/pull/17161"
"jupyterlab/jupyterlab","16887","Reference API documentation no longer shows up in search results in docs","https://github.com/jupyterlab/jupyterlab/issues/16887"
"jupyterlab/jupyterlab","16826","Command label ignored when adding extension to notebook toolbar","https://github.com/jupyterlab/jupyterlab/issues/16826"
"jupyterlab/jupyterlab","16789","JupyterLab's UI is easy to break using CSS ","https://github.com/jupyterlab/jupyterlab/issues/16789"
"jupyterlab/jupyterlab","16698","Document runtime packages and runtime dependencies from security perspective","https://github.com/jupyterlab/jupyterlab/issues/16698"
"jupyterlab/jupyterlab","16660","Amend best practices for CSS variables definitions in light of performance lessons learned","https://github.com/jupyterlab/jupyterlab/issues/16660"
"jupyterlab/jupyterlab","16616","Style guide for dialog boxes and notifications","https://github.com/jupyterlab/jupyterlab/issues/16616"
"jupyterlab/jupyterlab","16586","Describe cell input/output collapsing in the notebook documentation","https://github.com/jupyterlab/jupyterlab/pull/16586"
"jupyterlab/jupyterlab","16374","Document the Auto-Save Feature","https://github.com/jupyterlab/jupyterlab/issues/16374"
"jupyterlab/jupyterlab","16340","""preferred"" in ""Always start the preferred kernel"" is not documented","https://github.com/jupyterlab/jupyterlab/issues/16340"
"jupyterlab/jupyterlab","16282","Document JPY_SESSION_NAME environment variable, which contains current notebook's file path","https://github.com/jupyterlab/jupyterlab/issues/16282"
"jupyterlab/jupyterlab","16227","Example of standalone app with ipywidgets support","https://github.com/jupyterlab/jupyterlab/issues/16227"
"jupyterlab/jupyterlab","16179","Document the option to collapse cells while displaying the first line","https://github.com/jupyterlab/jupyterlab/issues/16179"
"jupyterlab/jupyterlab","16177","Add list of icons to documentation, together with import strings to copy","https://github.com/jupyterlab/jupyterlab/issues/16177"
"jupyterlab/jupyterlab","16168","Update documentation on menu item labelling and ellipsis use","https://github.com/jupyterlab/jupyterlab/pull/16168"
"jupyterlab/jupyterlab","16034","JupyterLab is crashing repeatedly and producing a 'SIGILL' error code when I try to run a large notebook on Chrome","https://github.com/jupyterlab/jupyterlab/issues/16034"
"jupyterlab/jupyterlab","16020","Improve documentation for workspaces","https://github.com/jupyterlab/jupyterlab/issues/16020"
"jupyterlab/jupyterlab","15955","Jupyterlab extension tutorial not written for novice","https://github.com/jupyterlab/jupyterlab/issues/15955"
"jupyterlab/jupyterlab","15939","Document how to handle drives when creating new files","https://github.com/jupyterlab/jupyterlab/issues/15939"
"jupyterlab/jupyterlab","15916","Use docker on CI to speed it up","https://github.com/jupyterlab/jupyterlab/pull/15916"
"jupyterlab/jupyterlab","15866","Extra non-critical revisions for the dual compatibility document","https://github.com/jupyterlab/jupyterlab/pull/15866"
"jupyterlab/jupyterlab","15819","File browser checkboxes not keyboard accessible","https://github.com/jupyterlab/jupyterlab/issues/15819"
"jupyterlab/jupyterlab","15749","Improve documentation for `jupyter.lab.transform`","https://github.com/jupyterlab/jupyterlab/issues/15749"
"jupyterlab/jupyterlab","15729","Should we use the council members doc page in lieu of the maintainers list in lab readme","https://github.com/jupyterlab/jupyterlab/issues/15729"
"jupyterlab/jupyterlab","15425","Should proxy environment variables be documented?","https://github.com/jupyterlab/jupyterlab/issues/15425"
"jupyterlab/jupyterlab-desktop","666","Support Windows Subsystem for Linux (WSL)","https://github.com/jupyterlab/jupyterlab-desktop/issues/666"
"jupyterlab/jupyterlab-desktop","654","conversation starter for introductory docs","https://github.com/jupyterlab/jupyterlab-desktop/pull/654"
"jupyterlab/jupyterlab-desktop","577","After upgrading JupyterLab using pip, I started jupyter-lab from the windows command and got an error.","https://github.com/jupyterlab/jupyterlab-desktop/issues/577"
